,Company Name,Model,Color,Price,MRP,RAM,ROM,Display size,Battery size,Processor
785,Samsung,Galaxy A50s,Prism Crush Violet,"26,957","26,957",6 GB, 128 GB,16.26 cm ,4000 mAh Li-ion ,Exynos 9611 
786,OPPO,A57,Gold,"13,500","13,500",3 GB,32GB,13.21 cm ,2900 mAh ,Qualcomm Snapdragon 435 Octa Core 1.4GHz 
787,Samsung,Galaxy J2 Pro,Gold,"10,480","10,480",2 GB,16GB,12.7 cm ,2600 mAh ,Spreadtrum Quad-Core 1.5GHz 
788,Karbonn,Platinum P9,Stary Black Blue,"7,499","7,850",2 GB, 16 GB,13.84 cm ,2500 mAh ,
789,I,Kall K400,Blue,"6,999","6,999",4 GB, 64 GB,15.24 cm ,3000 mAh ,
790,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
791,OPPO,A71,Black,"12,500","12,500",3 GB,16GB,13.21 cm ,3000 mAh Lithium ,Mediatek MT6750 Octa Core 1.5 GHz 
792,OPPO,A71,Gold,"12,500","12,500",3 GB,16GB,13.21 cm ,3000 mAh Lithium ,Mediatek MT6750 Octa Core 1.5 GHz 
793,Tecno,Camon i4,Nebula Black,"14,994","14,999",4 GB,64GB,15.75 cm ,3500 mAh ,
794,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
795,Vivo,V5,Crown gold,"17,980","17,980",4 GB,32GB,13.97 cm ,3000 mAh ,MediaTek MT6750 64-bit Octa Core 1.5GHz 
796,Alcatel,Idol 4,Dark Grey,"16,999","16,999",3 GB,16GB,13.21 cm ,2610 mAh Li-Polymer ,MSM8952 
797,Vivo,Y69,Gold,"14,914","14,914",3 GB,32GB,13.97 cm ,3000 mAh ,Mediatek MT6750 Octa Core 1.5GHz 
798,Vivo,Y69,Matte Black,"13,900","13,900",3 GB,32GB,13.97 cm ,3000 mAh ,Mediatek MT6750 Octa Core 1.5GHz 
799,Alcatel,Idol 4,Metal Silver,"16,999","16,999",3 GB,16GB,13.21 cm ,2610 mAh Li-Polymer ,MSM8952 
800,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
801,Gionee,F103 Pro,Gold,"10,999","10,999",3 GB,16GB,12.7 cm ,2400 mAh Li-Polymer ,Mediatek MT6735 Quad Core 1.3GHz 
802,Samsung,Galaxy A20,Black,"11,490","12,900",3 GB,32GB,16.26 cm ,4000 mAh Lithium-ion ,Exynos 7884B 
803,Apple,iPhone XS Max,Space Grey,"99,699","99,699",, 256 GB,16.51 cm ,,A12 Bionic Chip 
804,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
805,Samsung,Galaxy A6+,Blue,"25,600","25,600",4 GB, 64 GB,15.24 cm ,3500 mAh ,
806,OPPO,Neo 7 4G,Black,"10,000","10,000",1 GB,16GB,12.7 cm ,2420 mAh ,MediaTek MT6582 
807,OPPO,F3 Deepika Padukone Limited Edition,Rose Gold,"17,000","17,000",4 GB,64GB,13.97 cm ,3200 mAh ,Mediatek MT6750T Octa Core 1.5 GHz 
808,Samsung,Galaxy J7 - 6,New 2016 Edition) ,"15,299","15,585",2 GB,16GB,13.97 cm ,3300 mAh Li-Ion ,Exynos 7870 Octa Core 1.6GHz 
809,Samsung,Galaxy J7 - 6,New 2016 Edition) ,"13,800","15,014",2 GB,16GB,13.97 cm ,3300 mAh Li-Ion ,Exynos 7870 Octa Core 1.6GHz 
810,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
811,Vivo,Y53i,Matte Black,"7,990","7,990",2 GB,16GB,12.7 cm ,2500 mAh Li-ion ,Qualcomm MSM8917 
812,Motorola,Razr,Black,"1,24,999","1,49,999",6 GB, 128 GB,15.75 cm ,2510 mAh ,SDM710 
813,Samsung,Galaxy A7,Champagne Gold,"15,999","15,999",2 GB,16GB,13.97 cm ,2600 mAh ,
814,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
815,Karbonn,Vue 1,Champagne,"5,889","5,889",1 GB,8GB,13.46 cm ,2300 mAh ,
816,Itel,a20,Silver,"3,749","3,749",1 GB, 8 GB,10.16 cm ,1700 mAh ,
817,Vivo,Y53,Matte Black,"8,490","8,490",2 GB,16GB,12.7 cm ,2500 mAh Li-Ion ,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz 
818,Apple,iPhone 8,Gold,"54,999","77,000",, 256 GB,11.94 cm ,,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor "
819,Yu,topia,Graphite Grey,"8,999","29,999",4 GB,32GB,13.21 cm ,3000 mAh Li-polymer ,Qualcomm Snapdragon 810 Octa Core 64-bit 
820,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
821,OPPO,F3 Plus,Gold,"23,990","23,990",6 GB,64GB,15.24 cm ,4000 mAh ,Qualcomm MSM8976 Pro Snapdragon 653 octa-core 
822,HPL,A35,Black,"1,190","1,190",256 MB,512MB,8.89 cm ,1400 mAh Li-Ion ,Spentrum 
823,Yu,nique 2 Plus,Coal Black,"7,499","7,499",3 GB,16GB,12.7 cm ,2500 mAh Lithium Ion ,MediaTek MT6737 Quad Core 1.3 GHz 
824,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
825,Motorola,Razr,Gold,"1,24,999","1,49,999",6 GB, 128 GB,15.75 cm ,2510 mAh ,SDM710 
826,Micromax,Canvas 2 Plus,jet black,"7,978","9,499",3 GB, 32 GB,14.48 cm ,4000 mAh ,
827,Vivo,V9,Sapphire Blue,"23,990","23,990",4 GB,64GB,16.0 cm ,3260 mAh Li-ion ,Qualcomm Snapdragon 626 
828,Vivo,Y55S,Matte Black,"13,995","13,995",3 GB,16GB,13.21 cm ,2730 mAh Li-Ion ,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz 
829,HTC,U11,Solar Red,"53,990","53,990",6 GB, 128 GB,13.97 cm ,3000 mAH ,Qualcomm Snapdragon 835 64-bit 
830,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
831,Honor,9N,Robin Egg Blue,"12,500","12,500",3 GB,32GB,14.83 cm ,3000 mAh ,Kirin 659 Octa Core 
832,Honor,9N,Robin Egg Blue,"14,500","14,500",4 GB,64GB,14.83 cm ,3000 mAh ,Kirin 659 Octa Core 
833,nuvo,BLUE ND40,White,"2,799","2,799",512 MB,4GB,10.16 cm ,1350 mAh Li-Ion ,Mediatek Dual Core 
834,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
835,I,Kall K400,Black,"6,999","6,999",4 GB, 64 GB,15.24 cm ,3000 mAh ,
836,Vivo,V7,Gold,"18,990","18,990",4 GB,32GB,14.48 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 450 Octa Core 1.8 GHz 
837,Micromax,Canvas Nitro 2,White & Gold,"7,999","7,999",2 GB,16GB,12.7 cm ,2400 mAh Li-Ion ,Mediatek MT6592 Octa Core 1.4GHz 
838,Vivo,V15 Pro,Topaz Blue,"23,990","32,990",6 GB,128GB,16.23 cm ,3700 mAh Li-ion ,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz 
839,Honor,7X,Blue,"15,500","15,500",4 GB,64GB,15.06 cm ,3340 mAH Lithium-polymer ,Kirin 659 
840,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
841,Micromax,Canvas L A108,White,"11,999","11,999",1 GB,8GB,13.97 cm ,2350 mAh ,MT6582M 
842,LG,L90 Dual,White,"15,532","15,532",1 GB,8GB,10.16 cm ,2540 mAh Li-Ion ,Snapdragon 
843,Intex,Aqua Lions X1+,Champagne,"8,999","8,999",3 GB,32GB,13.21 cm ,2800 mAh Li-ion ,MT6737 
844,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
845,Iball,Andi 4P Class X,White & Silver,"3,000","3,000",1 GB, 8 GB,10.16 cm ,1400 mAh ,
846,nuvo,Alpha NS35 4GB,White,"2,549","2,549",512 MB,4GB,3.56 cm ,1400 mAh Li-Ion ,Single Core 
847,Apple,iPhone 7,Rose Gold,"47,490","47,490",, 256 GB,11.94 cm ,,
848,Vivo,V11,Nebula Purple,"19,999","19,999",6 GB,64GB,16.0 cm ,3315 mAh ,MediaTek P60 Octa Core 2.0 GHz 
849,Rage,Octa One 5.0,Grey,"7,900","7,900",1 GB, 8 GB,12.7 cm ,2300 mAh ,
850,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
851,LG,G7 ThinQ,Platinum,"53,000","53,000",4 GB,64GB,15.49 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 845 
852,Samsung,Galaxy S8 Plus,Midnight Black,"66,900","66,900",6 GB,128GB,15.75 cm ,3500 mAh ,Exynos 8895 Octa Core 2.3GHz 
853,Samsung,Galaxy Note 9,Metallic Copper,"73,600","73,600",6 GB,128GB,16.26 cm ,4000 mAh Lithium-ion ,
854,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
855,Asus,Zenfone 4,Red,"7,499","7,499",1 GB,8GB,11.43 cm ,1750 mAh Lithium ,Intel Atom Z2520 Processor with Intel Hyper Threading Technology 
856,Honor,7C,Black,"12,999","12,999",3 GB,32GB,15.21 cm ,3000 mAh ,Qualcomm SDM450 
857,Apple,iPhone 6s Plus,Space Grey,"42,990","42,990",, 16 GB,13.97 cm ,,Apple A9 64-bit 
858,LG,Q Stylus+,Black,"24,797","24,797",4 GB,64GB,15.75 cm ,3300 mAh ,MediaTek MTK 6750S 1.5 Ghz Octa-core 
859,Alcatel,U5 HD,Metallic Gold,"6,499","6,499",2 GB,16GB,12.7 cm ,2200 mAh ,MTK6737 
860,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
861,XOLO,BLACK,Black,"11,936","11,936",2 GB,16GB,13.97 cm ,3200 mAh Li-Polymer ,Qualcomm Snapdragon 615 MSM8939 64-bit Cortex-A53 
862,OPPO,F9,Stellar Purple,"17,890","21,990",4 GB,64GB,16.0 cm ,3500 mAh ,Mediatek Helio P60 Octacore 2.0 GHz 
863,Micromax,Q402+,Black,"4,199","4,199",1 GB, 8 GB,10.16 cm ,1700 mAh ,
864,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
865,Alcatel,3X,Blue,"9,999","9,999",3 GB, 32 GB,14.48 cm ,3000 mAh ,
866,Redmi,Y2,Gold,"10,990","10,990",3 GB,32GB,15.21 cm ,3080 mAh Li Polymer ,Qualcomm Snapdragon 625 
867,Gionee,P7,Gold,"9,999","9,999",2 GB,16GB,12.7 cm ,2300 mAh Li-Ion ,Quad Core 1.3GHz 
868,Moto,Turbo,Black,"31,999","31,999",3 GB, 64 GB,13.21 cm ,3900 mAh ,Qualcomm Snapdragon 805 QSC 8084 
869,Samsung,Galaxy A80,Ghost White,"52,927","52,927",8 GB, 128 GB,17.02 cm ,3700 mAh ,Qualcomm Snapdragon 730G Octa-Core 
870,I,Kall K300 NEW,Black,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
871,HTC,Desire 616 Dual Sim,Dark Gray,"17,200","17,200",1 GB,4GB,12.7 cm ,2000 mAh Li-Polymer ,
872,OPPO,K1,Astral Blue,"18,990","19,038",6 GB,64GB,16.28 cm ,3600 mAh ,Qualcomm Snapdragon 660 Octa Core 1.95 GHz 
873,Micromax,Selfie 2,Champagne,"8,420","9,180",3 GB,32GB,13.21 cm ,3000 mAh Polymer ,MT6737 
874,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
875,Micromax,Selfie 2,Matte Black,"8,398","9,999",3 GB,32GB,13.21 cm ,3000 mAh Polymer ,MT6737 
876,Karbonn,Vue 1,Black,"5,889","5,889",1 GB,8GB,13.46 cm ,2300 mAh ,
877,Honor,8,,"29,999","29,999",4 GB,32GB,13.21 cm ,3000 mAh Li-Polymer ,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz 
878,Honor,8,,"29,999","29,999",4 GB,32GB,13.21 cm ,3000 mAh Li-Polymer ,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz 
879,LG,L 80 Dual,White,"14,162","14,162",1 GB,4GB,12.7 cm ,2540 mAh ,Qualcomm Snapdragon 
880,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
881,LG,G2 D802,Black Gold,"31,971","31,971",2 GB, 16 GB,13.21 cm ,3000 mAh SiO+ Li-Polymer ,Qualcomm Snapdragon 800 
882,Samsung,Galaxy Note 9,Ocean Blue,"93,000","93,000",8 GB,512GB,16.26 cm ,4000 mAh Lithium-ion ,
883,XOLO,A500S Lite,Black,"5,999","5,999",512 MB,4GB,10.16 cm ,1400 mAh ,MTK 6572 
884,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
885,POCO,F1,Steel Blue,"19,999","19,999",6 GB,64GB,15.7 cm ,4000 mAh Li-polymer ,Qualcomm Snapdragon 845 
886,HTC,10,Topaz Gold,"56,690","56,690",4 GB,32GB,13.21 cm ,3000 mAh Li-Polymer ,Qualcomm Snapdragon 820 64-bit Quad Core 2.2GHz 
887,Samsung,Galaxy A70,White,"27,999","29,999",6 GB,128GB,17.02 cm ,4500 mAh Lithium-ion ,"Octa core (2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460) "
888,Alcatel,3V,Spectrum Blue,"10,999","10,999",3 GB,32GB,15.24 cm ,3000 mAh ,MT8735A A53 
889,Samsung,Galaxy A20s,Black,"14,900","14,900",4 GB,64GB,16.51 cm ,4000 mAh Lithium Ion ,Qualcomm SDM450-B01 
890,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
891,Samsung,Galaxy S8 Plus,Midnight Black,"53,990","53,990",4 GB,64GB,15.75 cm ,3500 mAh ,Exynos 8895 Octa Core 2.3GHz 
892,Celkon,Cliq 2,White&Gold,"6,900","6,900",3 GB,32GB,12.7 cm ,3000 mAh ,CORTEX A53 
893,Blackberry,Evolve,Black,"18,999","18,999",4 GB,64GB,15.21 cm ,4000 mAh ,Qualcomm SDM450 with 64 bit Octa-core 1.8GHz Cortex-A53 
894,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
895,Nexus,6P Special Edition,Gold,"42,998","42,998",3 GB, 64 GB,14.48 cm ,3450 mAh Li-Polymer ,Qualcomm Snapdragon 810 v2.1 64-bit 
896,Moto,X Play,With Turbo Charger) ,"17,499","17,499",2 GB,16GB,13.97 cm ,3630 mAh Li-Ion ,Qualcomm Snapdragon 615 
897,Asus,Zenfone 2 Laser,Black,"12,999","12,999",3 GB,16GB,13.97 cm ,3000 mAh Li-Polymer ,Qualcomm Snapdragon 615 Octa Core 1.5GHz 
898,Voto,V2i,Champagne Gold,"5,799","5,799",2 GB, 32 GB,12.7 cm ,3000 mAh ,Spreadtrum SC9832 Cortex A7 
899,tecno,Camon i Click,Gold,"11,950","11,950",4 GB, 64 GB,15.24 cm ,3750 mAh ,
900,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
901,Honor,7C,Blue,"12,999","12,999",3 GB,32GB,15.21 cm ,3000 mAh ,Qualcomm SDM450 
902,Huawei,P9,Prestige Gold,"39,999","39,999",3 GB,32GB,13.21 cm ,3000 mAh ,HUAWEI Kirin 955 ARM Cortex-A72 64-bit + ARM Cortex-A53 64-bit Octa Core 2.5GHz 
903,Apple,iPhone 8 Plus,Silver,"65,999","67,499",, 256 GB,13.97 cm ,,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor "
904,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
905,Redmi,Note 4,Gold,"12,750","12,750",4 GB,64GB,13.97 cm ,4100 mAh Li-Polymer ,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz 
906,Panasonic,Eluga Ray 800,Gold,"14,990","14,990",4 GB,64GB,13.97 cm ,4000 mAh ,SC9853I 
907,OPPO,A7,Glaring Gold,"13,990","13,990",3 GB,64GB,15.75 cm ,4230 mAh ,Qualcomm Snapdragon 450 
908,OPPO,F9 Pro,Sunrise Red,"19,990","25,000",6 GB,64GB,16.0 cm ,3500 mAh Li-polymer ,Mediatek Helio P60 Octacore 2.0 GHz 
909,Samsung,Galaxy A70,Black,"34,999","34,999",6 GB,128GB,17.02 cm ,4500 mAh Lithium-ion ,Qualcomm Snapdragron 675 
910,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
911,Gionee,F103 Pro,Grey,"8,798","8,990",3 GB,16GB,12.7 cm ,2400 mAh Li-Polymer ,MT6735 
912,Itel,IT 1508,Champagne Gold,"3,449","3,449",512 MB, 8 GB,12.7 cm ,2400 mAh ,
913,OPPO,A5,Diamond Blue,"14,990","14,990",4 GB,32GB,15.75 cm ,4230 mAh Li-ion ,Qualcomm Snapdragon 450 
914,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
915,Vivo,Y95,Nebula Purple,"18,990","18,990",4 GB,64GB,15.8 cm ,4030 mAh ,Qualcomm Snapdragon 439 
916,Apple,iPhone 8,Space Grey,"54,999","77,000",, 256 GB,11.94 cm ,,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor "
917,Yu,nique 2 Plus,Champagne,"6,499","6,799",3 GB,16GB,12.7 cm ,2500 mAh Lithium Ion ,MediaTek MT6737 Quad Core 1.3 GHz 
918,Mi,A2,Red,"13,250","13,250",4 GB, 64 GB,15.21 cm ,3010 mAh ,Qualcomm Snapdragon 660 AIE 
919,Datawind,PocketSurfer 2G4,Black,"2,210","2,392",512 MB, 512 MB,6.2 cm ,900 mAh Li-Ion ,
920,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
921,Coolpad,Mega 5M,Gold,"4,999","4,999",1 GB,16GB,12.7 cm ,2000 mAh ,"Quad Core, SC9850K Processor "
922,Redmi,Note 5,Black,"10,999","10,999",3 GB,32GB,15.21 cm ,4000 mAh Li Polymer ,Qualcomm Snapdragon 625 
923,Vivo,Y93,Starry Black,"14,990","14,990",3 GB,64GB,15.8 cm ,4030 mAh Li-ion ,MediaTek Helio P22 
924,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
925,Asus,Zenfone 4,Blue,"6,499","6,499",1 GB,8GB,10.16 cm ,1600 mAh Lithium ,Intel Atom Z2520 Processor with Intel Hyper Threading Technology 
926,OPPO,F9 Pro,Starry Purple,"21,150","21,150",6 GB,64GB,16.0 cm ,3500 mAh Li-polymer ,Mediatek Helio P60 Octacore 2.0 GHz 
927,Nokia,9,Blue,"51,999","56,299",6 GB, 128 GB,15.21 cm ,3320 mAh ,Qualcomm Snapdragon 845 
928,Alcatel,3X,Black,"9,999","9,999",3 GB, 32 GB,14.48 cm ,3000 mAh ,
929,Vivo,Y81i,Black,"9,800","9,800",2 GB,16GB,15.8 cm ,3260 mAh Li-ion ,MediaTek Helio A22 
930,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
931,Redmi,Note 4,Gold,"11,490","11,490",3 GB,32GB,13.97 cm ,4100 mAh Li-Polymer ,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz 
932,Apple,iPhone 6,Space Grey,"52,000","52,000",, 16 GB,11.94 cm ,,Apple A8 64-bit 
933,Samsung,M01 core,Red,"7,994","7,994",2 GB,32GB,13.46 cm ,3000 mAh ,MediaTek | MT6739WW quad core  
934,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
935,Itel,A42 Plus,Phantomblack,"5,850","5,850",2 GB, 16 GB,12.7 cm ,2700 mAh ,
936,LG,G7+ ThinQ,Blue,"54,998","54,998",6 GB,128GB,15.49 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 845 
937,Homtom,H3,Black,"7,500","7,500",3 GB, 32 GB,13.97 cm ,3500 mAh ,
938,Vivo,V11 Pro,Dazzling Gold,"22,654","22,654",6 GB,64GB,16.28 cm ,3400 mAh Li-ion ,2.0 GHz Qualcomm Snapdragon 660 AIE 
939,Vivo,Y91,Ocean Blue,"11,990","11,990",2 GB,32GB,15.8 cm ,4030 mAh Li-ion ,Helio P22 (MTK6762R) 
940,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
941,Samsung,Galaxy Note 8,Maple Gold,"59,900","59,900",6 GB,64GB,16.0 cm ,3300 mAh ,
942,Samsung,Galaxy Note 9,Ocean Blue,"67,900","67,900",6 GB,128GB,16.26 cm ,4000 mAh Lithium-ion ,
943,OPPO,F3,Rose Gold,"18,000","18,000",4 GB,64GB,13.97 cm ,3200 mAh ,Mediatek MT6750T 
944,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
945,InFocus,Turbo 5s,Platinum Gold,"9,500","9,500",3 GB,32GB,13.21 cm ,4000 mAh ,
946,Mi,A2,Black,"10,500","11,600",4 GB, 64 GB,15.21 cm ,3010 mAh ,Qualcomm Snapdragon 660 AIE 
947,OPPO,F5,Black,"26,474","26,474",6 GB,64GB,15.24 cm ,3200 mAh ,Mediatek MT6763T Octa Core 2.5 GHz 
948,Coolpad,Cool 3,Midnight Blue,"8,999","8,999",4 GB,64GB,14.48 cm ,3000 mAh ,SC9863A 
949,OPPO,F5,Gold,"20,990","20,990",4 GB,32GB,15.24 cm ,3200 mAh ,Mediatek MT6763T Octa Core 2.5 GHz 
950,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
951,OPPO,F5,Black,"15,500","15,500",4 GB,32GB,15.24 cm ,3200 mAh ,Mediatek MT6763T Octa Core 2.5 GHz 
952,Datawind,PocketSurfer 3G4+,Black,"2,199","2,199",256 MB, 512 MB,10.16 cm ,1200 mAh ,
953,Samsung,Galaxy A8 Plus,Black,"25,999","25,999",6 GB, 64 GB,15.24 cm ,3500 mAh ,
954,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
955,Tecno,Camon i Sky,midnight black,"8,592","8,592",2 GB, 16 GB,13.84 cm ,3050 mAh ,
956,LG,Q6,Platinum,"10,500","10,500",3 GB,32GB,13.97 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 435 1.4 GHz Octacore 
957,Tecno,Camon I Air 2+,Midnight Black,"9,900","9,900",2 GB,32GB,15.75 cm ,3750 mAh ,
958,Tecno,Camon I Air,Champagne Gold,"7,996","7,999",2 GB,16GB,14.35 cm ,3050 mAh ,Cortex A53 
959,Samsung,Galaxy A80,Angel Gold,"44,300","52,000",8 GB, 128 GB,17.02 cm ,3700 mAh ,Qualcomm Snapdragon 730G Octa-Core 
960,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
961,LG,Q6,Platinum,"10,500","10,500",3 GB,32GB,13.97 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 435 1.4 GHz Octacore 
962,Tecno,Camon I Air 2+,Midnight Black,"9,900","9,900",2 GB,32GB,15.75 cm ,3750 mAh ,
963,Samsung,Galaxy A80,Angel Gold,"44,300","52,000",8 GB, 128 GB,17.02 cm ,3700 mAh ,Qualcomm Snapdragon 730G Octa-Core 
964,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
965,Tecno,Camon I Air,Champagne Gold,"7,996","7,999",2 GB,16GB,14.35 cm ,3050 mAh ,Cortex A53 
966,Itel,A41,Champagne Gold,"4,889","4,889",1 GB, 8 GB,12.7 cm ,2400 mAh ,
967,Samsung,Galaxy A7,Blue,"17,990","25,379",4 GB,64GB,15.24 cm ,3300 mAh Lithium-ion ,Samsung Exynos Octa Core Processor (2.2 GHz) 
968,Asus,Zenfone Selfie,Silver,"10,999","10,999",2 GB,16GB,13.97 cm ,3000 mAh Li-Polymer ,Qualcomm Snapdragon 615 MSM8939 
969,Vivo,Y95,Starry Black,"14,990","14,990",4 GB,64GB,15.8 cm ,4030 mAh ,Qualcomm Snapdragon 439 
970,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
971,Samsung,Galaxy J5 Prime,Gold,"14,500","14,500",2 GB,16GB,12.7 cm ,2400 mAh Li-Ion ,Exynos 7570 Quad Core 1.4GHz 
972,Mi,A2,Gold,"10,500","10,500",4 GB, 64 GB,15.21 cm ,3010 mAh ,Qualcomm Snapdragon 660 AIE 
973,Nokia,2.1,Blue&Copper,"6,500","6,500",1 GB, 8 GB,13.97 cm ,4000 mAh ,
974,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
975,Samsung,Galaxy J2 2018,Pink,"6,799","6,799",2 GB,16GB,12.7 cm ,2600 mAh ,Snapdragon 425 
976,Samsung,M01 core,Red,"6,999","6,999",1 GB,16GB,13.46 cm ,3000 mAh ,MediaTek | MT6739WW quad core  
977,Vivo,V7,Energetic Blue,"15,990","15,990",4 GB,32GB,14.48 cm ,3000 mAh Li-ion ,Qualcomm Snapdragon 450 Octa Core 1.8 GHz 
978,Nokia,3.1,Black,"9,999","9,999",2 GB, 16 GB,13.21 cm ,2990 mAh ,
979,LG,V40 ThinQ,Platinum Grey,"60,000","60,000",6 GB,128GB,16.26 cm ,3300 mAh Lithium Ion ,Qualcomm Snapdragon 845 
980,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
981,Tecno,Spark Power,Alphenglow Gold,"10,000","10,000",4 GB,64GB,16.13 cm ,6000 mAh Li-Polymer ,Mediatek Helio 
982,Samsung,Galaxy Note 9,Midnight Black,"66,998","66,998",6 GB,128GB,16.26 cm ,4000 mAh Lithium-ion ,
983,Mi,A2,Rose Gold,"13,999","13,999",4 GB, 64 GB,15.21 cm ,3010 mAh ,Qualcomm Snapdragon 660 AIE 
984,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
