,Company Name,Model,Color,Price,MRP,RAM,ROM,Display size,Battery size,Processor
616,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
617,OPPO,A3s,Red,"12,000","12,000",3 GB,32GB,15.75 cm ,4230 mAh ,Qualcomm Snapdragon 450 
618,Zoom,Me M3,Purple,"7,999","7,999",3 GB, 32 GB,12.7 cm ,2400 mAh ,
619,OPPO,A83,2018 Edition) ,"19,000","19,000",4 GB,2018 Edition) ,14.48 cm ,3180 mAh ,MT6763T 
620,I,Kall K700,Green,"6,799","6,999",4 GB, 32 GB,15.9 cm ,3000 mAh ,
621,Samsung,Galaxy A30s,Prism Crush White,"18,900","18,900",4 GB, 64 GB,16.26 cm ,4000 mAh Li-ion ,Exynos 7904 
622,Tecno,Camon i 2,AQUA BLUE,"12,333","12,333",3 GB,32GB,15.75 cm ,3750 mAh ,
623,Tecno,Camon i 2,MIDNIGHT BLACK,"9,999","9,999",3 GB,32GB,15.75 cm ,3750 mAh ,
624,I,Kall K200,Golden,"4,899","4,999",2 GB, 16 GB,13.97 cm ,2500 mAh ,
625,Tecno,Camon I Sky 2,Bordeaux Red,"10,000","10,000",2 GB, 16 GB,13.97 cm ,3050 mAh ,
626,Micromax,Canvas 2,Champagne,"7,949","7,949",3 GB,16GB,12.7 cm ,3050 mAh Li-Polymer ,Mediatek MT6737 Quad Core 1.25GHz 
627,OPPO,A5s,Red,"12,990","12,990",2 GB,32GB,15.75 cm ,4230 mAh ,MTK MT6765 
628,I,Kall K7,Green+Blue,"5,499","5,699",2 GB, 16 GB,15.24 cm ,2800 mAh ,
629,OPPO,A5s,Red,"12,990","12,990",3 GB,32GB,15.75 cm ,4230 mAh ,MTK MT6765 
630,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
631,InFocus,A1s Fingerprint Sensor,Champagne,"6,500","6,500",1 GB,8GB,12.7 cm ,2200 mAh ,
632,Samsung,J7 Max,Black,"19,995","19,995",4 GB,32GB,14.48 cm ,3300 mAh ,Mediatek Octa-Core 1.69GHz 
633,Itel,S42,Black,"8,500","8,500",3 GB, 16 GB,14.35 cm ,3000 mAh ,
634,I,Kall K6,Red,"6,599","7,299",4 GB, 32 GB,15.9 cm ,3000 mAh ,
635,Itel,S42,Rose Gold,"12,933","12,933",3 GB, 16 GB,14.35 cm ,3000 mAh ,
636,VOTO,V12,Black,"5,999","5,999",2 GB, 16 GB,12.7 cm ,3000 mAh Li-ion ,Spreadtrum 9832 
637,Karbonn,Platinum P9 Pro,Aurora Blue,"7,658","8,495",3 GB, 32 GB,13.84 cm ,3000 mAh ,
638,Samsung,Galaxy S10 Plus,Prism Blue,"75,900","75,900",8 GB,128GB,16.26 cm ,4100 mAh Lithium-ion ,Exynos 9 9820 
639,InFocus,Turbo 5,Glittering Gold,"12,500","12,500",3 GB, 32 GB,13.21 cm ,5000 mAh ,
640,I,Kall K900,Sky Blue,"6,699","7,599",4 GB, 64 GB,13.97 cm ,3000 mAh ,
641,Micromax,Canvas Infinity Life,Jet Black,"8,999","8,999",2 GB,16GB,13.84 cm ,2500 mAh ,MediaTek MT6737 Cortex-A53 64-bit 
642,Mi,10,Twilight Grey,"50,490","59,990",8 GB, 256 GB,16.94 cm ,4780 mAh ,Qualcomm Snapdragon 865 
643,Samsung,Galaxy A10,Black,"7,990","9,304",2 GB,32GB,15.75 cm ,3400 mAh Lithium-ion ,Exynos 7884 
644,I,Kall K9,Blue,"5,199","5,199",2 GB, 16 GB,15.24 cm ,2800 mAh ,
645,Mi,10,Twilight Grey,"49,990","51,990",8 GB, 128 GB,16.94 cm ,4780 mAh ,Qualcomm Snapdragon 865 
646,Lenovo,Z6 Pro,Black,"26,999","39,999",8 GB,128GB,16.23 cm ,4000 mAh Li-polymer ,Qualcomm SDM855 
647,Vivo,V15 Pro,Topaz Blue,"28,499","34,990",8 GB,128GB,16.23 cm ,3700 mAh Li-ion ,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz 
648,Tecno,Camon i4,Aqua Blue,"10,000","10,000",2 GB,32GB,15.75 cm ,3500 mAh ,
649,Vivo,Y83 Pro,Nebula Purple,"14,500","14,500",4 GB,64GB,15.8 cm ,3260 mAh Li-ion ,Mediatek Helio P22 
650,I,Kall K300 NEW,Cyan,"7,999","9,999",4 GB, 64 GB,16.59 cm ,4000 mAh ,
651,Vivo,Y83 Pro,Gold,"14,500","14,500",4 GB,64GB,15.8 cm ,3260 mAh Li-ion ,Mediatek Helio P22 
